Title,Year,Genre,Director,Production Company,Runtime (min),Country of Origin,Original Language,Gross Revenue (million)
Fargo,1996,Crime,Joel Coen,Gramercy Pictures,98,USA,English,60.6
Braveheart,1995,Historical,Mel Gibson,20th Century Fox,178,USA,English,213.2
Pulp Fiction,1994,Crime,Quentin Tarantino,Miramax,154,USA,English,213.9
Schindler's List,1993,Drama,Steven Spielberg,Universal Pictures,195,USA,English,322.2
Unforgiven,1992,Western,Clint Eastwood,Warner Bros.,131,USA,English,159.0
The Silence of the Lambs,1991,Thriller,Jonathan Demme,Orion Pictures,118,USA,English,272.7
Goodfellas,1990,Crime,Martin Scorsese,Warner Bros.,146,USA,English,47.1
Do the Right Thing,1989,Drama,Spike Lee,Universal Pictures,120,USA,English,37.3
Rain Man,1988,Drama,Barry Levinson,United Artists,133,USA,English,354.8
Platoon,1986,War,Oliver Stone,Hemdale Film Corporation,120,USA,English,138.5
Back to the Future,1985,Sci-Fi,Robert Zemeckis,Universal Pictures,116,USA,English,388.8
Ghostbusters,1984,Comedy,Ivan Reitman,Columbia Pictures,105,USA,English,295.2
The Terminator,1984,Sci-Fi,James Cameron,Hemdale Film Corporation,107,USA,English,78.4
E.T. the Extra-Terrestrial,1982,Sci-Fi,Steven Spielberg,Universal Pictures,115,USA,English,792.9
Raging Bull,1980,Biography,Martin Scorsese,United Artists,129,USA,English,23.4
Alien,1979,Sci-Fi,Ridley Scott,20th Century Fox,117,USA,English,203.6
The Godfather,1972,Crime,Francis Ford Coppola,Paramount Pictures,175,USA,English,291.0
2001: A Space Odyssey,1968,Sci-Fi,Stanley Kubrick,MGM,149,UK,English,146.0
Lawrence of Arabia,1962,Adventure,David Lean,Columbia Pictures,227,UK,English,70.0
Psycho,1960,Horror,Alfred Hitchcock,Paramount Pictures,109,USA,English,50.0
Vertigo,1958,Thriller,Alfred Hitchcock,Paramount Pictures,128,USA,English,7.7
Singin' in the Rain,1952,Musical,Stanley Donen,MGM,103,USA,English,12.3
Citizen Kane,1941,Drama,Orson Welles,RKO Radio Pictures,119,USA,English,1.6
Gone with the Wind,1939,Romance,Victor Fleming,MGM,238,USA,English,402.4
Metropolis,1927,Sci-Fi,Fritz Lang,UFA,153,Germany,German,1.2
Nosferatu,1922,Horror,F.W. Murnau,Prana Film,94,Germany,German,0.1
The Cabinet of Dr. Caligari,1920,Horror,Robert Wiene,Decla-Bioscop,76,Germany,German,0.05
A Trip to the Moon,1902,Sci-Fi,Georges Méliès,Star Film Company,13,France,French,0.01
The Arrival,2022,Sci-Fi,Denis Villeneuve,Sony Pictures,135,USA,English,320.5
The Lost City,2022,Adventure,Aaron Nee,Paramount Pictures,112,USA,English,190.8
Everything Everywhere All at Once,2022,Sci-Fi,Daniel Kwan,A24,139,USA,English,143.4
The Batman,2022,Superhero,Matt Reeves,Warner Bros.,176,USA,English,770.9
Top Gun: Maverick,2022,Action,Joseph Kosinski,Paramount Pictures,131,USA,English,1488.7
Elvis,2022,Biography,Baz Luhrmann,Warner Bros.,159,USA,English,287.3
Jurassic World Dominion,2022,Action,Colin Trevorrow,Universal Pictures,147,USA,English,1001.4
Doctor Strange in the Multiverse of Madness,2022,Superhero,Sam Raimi,Marvel Studios,126,USA,English,955.8
Minions: The Rise of Gru,2022,Animation,Kyle Balda,Universal Pictures,87,USA,English,939.6
The Bad Guys,2022,Animation,Pierre Perifel,DreamWorks Animation,100,USA,English,250.2
The Northman,2022,Historical,Robert Eggers,Focus Features,137,USA,English,69.6
The Unbearable Weight of Massive Talent,2022,Comedy,Tom Gormican,Lionsgate,107,USA,English,29.1
X,2022,Horror,Ti West,A24,106,USA,English,15.1
The Outfit,2022,Crime,Graham Moore,Focus Features,106,USA,English,10.2
After Yang,2022,Sci-Fi,Kogonada,A24,96,USA,English,2.8
The Tragedy of Macbeth,2021,Drama,Joel Coen,A24,105,USA,English,2.3
Licorice Pizza,2021,Comedy,Paul Thomas Anderson,MGM,133,USA,English,33.4
Nightmare Alley,2021,Thriller,Guillermo del Toro,Searchlight Pictures,150,USA,English,39.4
West Side Story,2021,Musical,Steven Spielberg,20th Century Fox,156,USA,English,76.0
The Power of the Dog,2021,Drama,Jane Campion,Netflix,126,USA,English,0.0
Don't Look Up,2021,Comedy,Adam McKay,Netflix,138,USA,English,0.0
The French Dispatch,2021,Comedy,Wes Anderson,Searchlight Pictures,108,USA,English,46.3
Spencer,2021,Biography,Pablo Larraín,Neon,117,UK,English,24.9
The Green Knight,2021,Fantasy,David Lowery,A24,130,USA,English,18.9
Shang-Chi and the Legend of the Ten Rings,2021,Superhero,Destin Daniel Cretton,Marvel Studios,132,USA,English,432.2
Black Widow,2021,Superhero,Cate Shortland,Marvel Studios,134,USA,English,379.8
A Quiet Place Part II,2021,Horror,John Krasinski,Paramount Pictures,97,USA,English,297.4
Cruella,2021,Comedy,Craig Gillespie,Disney,134,USA,English,233.5
In the Heights,2021,Musical,Jon M. Chu,Warner Bros.,143,USA,English,45.0
The Suicide Squad,2021,Superhero,James Gunn,Warner Bros.,132,USA,English,168.7
Free Guy,2021,Action,Shawn Levy,20th Century Fox,115,USA,English,331.5
No Time to Die,2021,Action,Cary Joji Fukunaga,MGM,163,UK,English,774.2
Dune,2021,Sci-Fi,Denis Villeneuve,Warner Bros.,155,USA,English,402.0
The Matrix Resurrections,2021,Sci-Fi,Lana Wachowski,Warner Bros.,148,USA,English,157.3
Spider-Man: No Way Home,2021,Superhero,Jon Watts,Marvel Studios,148,USA,English,1921.8
King Richard,2021,Biography,Reinaldo Marcus Green,Warner Bros.,144,USA,English,39.4
The Lost Daughter,2021,Drama,Maggie Gyllenhaal,Netflix,121,USA,English,0.0
The Card Counter,2021,Thriller,Paul Schrader,Focus Features,111,USA,English,5.1
The Many Saints of Newark,2021,Crime,Alan Taylor,Warner Bros.,120,USA,English,13.3
Last Night in Soho,2021,Thriller,Edgar Wright,Focus Features,116,UK,English,23.6
The Last Duel,2021,Historical,Ridley Scott,20th Century Fox,152,USA,English,30.6
House of Gucci,2021,Drama,Ridley Scott,MGM,158,USA,English,153.3
Encanto,2021,Animation,Jared Bush,Disney,102,USA,English,256.8
The Mitchells vs. The Machines,2021,Animation,Michael Rianda,Sony Pictures,114,USA,English,0.0
Raya and the Last Dragon,2021,Animation,Don Hall,Disney,107,USA,English,130.4
Luca,2021,Animation,Enrico Casarosa,Pixar,95,USA,English,49.8
The Conjuring: The Devil Made Me Do It,2021,Horror,Michael Chaves,Warner Bros.,112,USA,English,206.4
A Quiet Place,2018,Horror,John Krasinski,Paramount Pictures,90,USA,English,340.9
Get Out,2017,Horror,Jordan Peele,Blumhouse,104,USA,English,255.4
Parasite,2019,Thriller,Bong Joon-ho,CJ Entertainment,132,South Korea,Korean,263.1
The Shape of Water,2017,Fantasy,Guillermo del Toro,Fox Searchlight,123,USA,English,195.2
Moonlight,2016,Drama,Barry Jenkins,A24,111,USA,English,65.3
La La Land,2016,Musical,Damien Chazelle,Lionsgate,128,USA,English,446.1
Mad Max: Fury Road,2015,Action,George Miller,Warner Bros.,120,Australia,English,378.9
The Revenant,2015,Adventure,Alejandro G. Iñárritu,20th Century Fox,156,USA,English,533.0
Spotlight,2015,Drama,Tom McCarthy,Open Road Films,129,USA,English,98.4
Birdman,2014,Comedy,Alejandro G. Iñárritu,Fox Searchlight,119,USA,English,103.2
Whiplash,2014,Drama,Damien Chazelle,Sony Pictures Classics,107,USA,English,49.4
Gone Girl,2014,Thriller,David Fincher,20th Century Fox,149,USA,English,369.3
Interstellar,2014,Sci-Fi,Christopher Nolan,Warner Bros.,169,USA,English,677.5
The Grand Budapest Hotel,2014,Comedy,Wes Anderson,Fox Searchlight,99,USA,English,174.6
The Wolf of Wall Street,2013,Biography,Martin Scorsese,Paramount Pictures,180,USA,English,392.0
12 Years a Slave,2013,Drama,Steve McQueen,Fox Searchlight,134,USA,English,187.7
Gravity,2013,Sci-Fi,Alfonso Cuarón,Warner Bros.,91,USA,English,723.2
Her,2013,Romance,Spike Jonze,Warner Bros.,126,USA,English,48.0
The Hobbit: The Desolation of Smaug,2013,Fantasy,Peter Jackson,Warner Bros.,161,USA,English,958.4
Frozen,2013,Animation,Chris Buck,Disney,102,USA,English,1280.0
American Hustle,2013,Crime,David O. Russell,Columbia Pictures,138,USA,English,251.2
The Hunger Games: Catching Fire,2013,Action,Francis Lawrence,Lionsgate,146,USA,English,865.0
Pacific Rim,2013,Sci-Fi,Guillermo del Toro,Warner Bros.,131,USA,English,411.0
The Conjuring,2013,Horror,James Wan,Warner Bros.,112,USA,English,319.5
Man of Steel,2013,Superhero,Zack Snyder,Warner Bros.,143,USA,English,668.0
Django Unchained,2012,Western,Quentin Tarantino,The Weinstein Company,165,USA,English,425.4
Life of Pi,2012,Adventure,Ang Lee,20th Century Fox,127,USA,English,609.0
Argo,2012,Thriller,Ben Affleck,Warner Bros.,120,USA,English,232.3
Silver Linings Playbook,2012,Comedy,David O. Russell,The Weinstein Company,122,USA,English,236.4
Les Misérables,2012,Musical,Tom Hooper,Universal Pictures,158,USA,English,441.8
Skyfall,2012,Action,Sam Mendes,MGM,143,UK,English,1108.6
The Avengers,2012,Superhero,Joss Whedon,Marvel Studios,143,USA,English,1518.8
The Dark Knight Rises,2012,Action,Christopher Nolan,Warner Bros.,164,USA,English,1081.0
The Hobbit: An Unexpected Journey,2012,Fantasy,Peter Jackson,Warner Bros.,169,USA,English,1017.0
Lincoln,2012,Biography,Steven Spielberg,DreamWorks,150,USA,English,275.3
Zero Dark Thirty,2012,Thriller,Kathryn Bigelow,Columbia Pictures,157,USA,English,132.8
Wreck-It Ralph,2012,Animation,Rich Moore,Disney,101,USA,English,471.2
The Perks of Being a Wallflower,2012,Drama,Stephen Chbosky,Summit Entertainment,103,USA,English,33.4
The Impossible,2012,Drama,J.A. Bayona,Summit Entertainment,114,USA,English,180.3
The Master,2012,Drama,Paul Thomas Anderson,The Weinstein Company,144,USA,English,28.3
Moonrise Kingdom,2012,Comedy,Wes Anderson,Focus Features,94,USA,English,68.3
Beasts of the Southern Wild,2012,Fantasy,Benh Zeitlin,Fox Searchlight,93,USA,English,21.0
The Cabin in the Woods,2012,Horror,Drew Goddard,Lionsgate,95,USA,English,66.5
The Amazing Spider-Man,2012,Superhero,Marc Webb,Columbia Pictures,136,USA,English,757.9
Brave,2012,Animation,Mark Andrews,Pixar,93,USA,English,538.9
The Dictator,2012,Comedy,Larry Charles,Paramount Pictures,83,USA,English,179.4
Ted,2012,Comedy,Seth MacFarlane,Universal Pictures,106,USA,English,549.4
The Twilight Saga: Breaking Dawn – Part 2,2012,Fantasy,Bill Condon,Summit Entertainment,115,USA,English,829.7
The Hunger Games,2012,Action,Gary Ross,Lionsgate,142,USA,English,694.4
The Artist,2011,Comedy,Michel Hazanavicius,Warner Bros.,100,France,French,133.4
Drive,2011,Thriller,Nicolas Winding Refn,FilmDistrict,100,USA,English,81.4
The Help,2011,Drama,Tate Taylor,DreamWorks,146,USA,English,216.6
The Girl with the Dragon Tattoo,2011,Thriller,David Fincher,Columbia Pictures,158,USA,English,232.6
Midnight in Paris,2011,Comedy,Woody Allen,Sony Pictures Classics,94,USA,English,151.1
The Tree of Life,2011,Drama,Terrence Malick,Fox Searchlight,139,USA,English,54.3
Bridesmaids,2011,Comedy,Paul Feig,Universal Pictures,125,USA,English,288.4
Harry Potter and the Deathly Hallows – Part 2,2011,Fantasy,David Yates,Warner Bros.,130,UK,English,1342.0
The Descendants,2011,Drama,Alexander Payne,Fox Searchlight,115,USA,English,177.2
Moneyball,2011,Biography,Bennett Miller,Columbia Pictures,133,USA,English,110.2
Hugo,2011,Adventure,Martin Scorsese,Paramount Pictures,126,USA,English,185.8
Toy Story 3,2010,Animation,Lee Unkrich,Pixar,103,USA,English,1067.0
Black Swan,2010,Thriller,Darren Aronofsky,Fox Searchlight,108,USA,English,329.4
The King's Speech,2010,Drama,Tom Hooper,The Weinstein Company,118,UK,English,424.9
True Grit,2010,Western,Joel Coen,Paramount Pictures,110,USA,English,252.3
127 Hours,2010,Drama,Danny Boyle,Fox Searchlight,94,USA,English,60.7
The Fighter,2010,Drama,David O. Russell,Paramount Pictures,116,USA,English,129.2
The Town,2010,Crime,Ben Affleck,Warner Bros.,125,USA,English,154.0
Shutter Island,2010,Thriller,Martin Scorsese,Paramount Pictures,138,USA,English,294.8
How to Train Your Dragon,2010,Animation,Dean DeBlois,DreamWorks Animation,98,USA,English,494.9
Tangled,2010,Animation,Nathan Greno,Disney,100,USA,English,592.5
Despicable Me,2010,Animation,Pierre Coffin,Universal Pictures,95,USA,English,543.1
Megamind,2010,Animation,Tom McGrath,DreamWorks Animation,96,USA,English,321.9
Alice in Wonderland,2010,Fantasy,Tim Burton,Disney,108,USA,English,1025.5
Iron Man 2,2010,Superhero,Jon Favreau,Paramount Pictures,124,USA,English
Despicable Me,2010,Animation,Pierre Coffin and Chris Renaud,Universal Pictures,95,USA,English,543.1
Iron Man 2,2010,Superhero,Jon Favreau,Marvel Studios,124,USA,English,623.9
Shutter Island,2010,Thriller,Martin Scorsese,Paramount Pictures,138,USA,English,294.8
Tangled,2010,Animation,Nathan Greno and Byron Howard,Disney,100,USA,English,592.4
The King's Speech,2010,Biography,Tom Hooper,See-Saw Films,118,UK,English,427.4
Alice in Wonderland,2010,Fantasy,Tim Burton,Disney,108,USA,English,1025.5
How to Train Your Dragon,2010,Animation,Dean DeBlois and Chris Sanders,DreamWorks Animation,98,USA,English,494.9
The Fighter,2010,Biography,David O. Russell,Paramount Pictures,116,USA,English,129.2
